user_id,item_id,description,recommendation_type,business_boosted,campaign_type,final_score,ai_relevance,strategic_boost,personalization_match,popularity_score,reason,matched_interests
16915.0,23355,HOT WATER BOTTLE KEEP CALM,personalization,False,none,0.9677,0.995,0.8264,1.0,0.8673,Personalized: Matches your interest in FAWN_BLUE_HOT_WATER,FAWN_BLUE_HOT_WATER
16915.0,23356,LOVE HOT WATER BOTTLE,personalization,False,none,0.9642,0.995,0.7649,1.0,0.8087,Personalized: Matches your interest in FAWN_BLUE_HOT_WATER,FAWN_BLUE_HOT_WATER
16915.0,82482,WOODEN PICTURE FRAME WHITE FINISH,personalization,False,none,0.9445,0.9849,0.5862,1.0,0.8911,Personalized: Matches your interest in WOODEN_FRAME_ANTIQUE_WHITE,WOODEN_FRAME_ANTIQUE_WHITE
16915.0,82494L,WOODEN FRAME ANTIQUE WHITE ,personalization,False,none,0.9393,0.995,0.4928,1.0,0.8808,Personalized: Matches your interest in WOODEN_FRAME_ANTIQUE_WHITE,WOODEN_FRAME_ANTIQUE_WHITE
16915.0,22303,COFFEE MUG APPLES DESIGN,personalization,False,none,0.9388,0.9698,0.5893,1.0,0.7149,Personalized: Matches your interest in FLOWER_SHOP_DESIGN_MUG,FLOWER_SHOP_DESIGN_MUG
16915.0,22971,QUEENS GUARD COFFEE MUG,personalization,False,none,0.9335,0.9849,0.5185,1.0,0.7172,Personalized: Matches your interest in FLOWER_SHOP_DESIGN_MUG,FLOWER_SHOP_DESIGN_MUG
16915.0,23165,LARGE CERAMIC TOP STORAGE JAR,personalization,False,none,0.9287,0.9849,0.5206,1.0,0.7115,Personalized: Matches your interest in JARDIN_ETCHED_GLASS_SMALL,JARDIN_ETCHED_GLASS_SMALL
16915.0,22423,REGENCY CAKESTAND 3 TIER,promotion,True,clearance,0.8024,1.0,0.2034,0.2714,0.9782,Clearance: Featured brand selected for you,SET_OF_12_FAIRY
16915.0,21668,RED STRIPE CERAMIC DRAWER KNOB,curation,False,none,0.4693,0.9799,0.351,0.3559,0.7666,Personalized: Matches your interest in CUPBOARD_3_DRAWER_MA,CUPBOARD_3_DRAWER_MA
16915.0,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,curation,False,none,0.4656,0.995,0.2963,0.3559,0.7631,Personalized: Matches your interest in CUPBOARD_3_DRAWER_MA,CUPBOARD_3_DRAWER_MA
17375.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,promotion,True,promoted,1.3474,0.9935,0.4962,1.0,1.0,Promoted: Featured brand selected for you,VINTAGE_GLASS_T-LIGHT_HOLDER
17375.0,84949,SILVER HANGING T-LIGHT HOLDER,personalization,False,none,0.9645,0.9935,0.7975,1.0,0.7273,Personalized: Matches your interest in VINTAGE_GLASS_T-LIGHT_HOLDER,VINTAGE_GLASS_T-LIGHT_HOLDER
17375.0,23199,JUMBO BAG APPLES,personalization,False,none,0.926,0.9935,0.3889,1.0,0.8648,Personalized: Matches your interest in JUMBO_BAG_VINTAGE_CHRISTMAS,JUMBO_BAG_VINTAGE_CHRISTMAS
17375.0,23200,JUMBO BAG PEARS,personalization,False,none,0.925,0.9871,0.3783,1.0,0.8098,Personalized: Matches your interest in JUMBO_BAG_VINTAGE_CHRISTMAS,JUMBO_BAG_VINTAGE_CHRISTMAS
17375.0,21929,JUMBO BAG PINK VINTAGE PAISLEY,personalization,False,none,0.9128,0.9935,0.2308,1.0,0.8412,"Personalized: Matches your interest in CABIN_BAG_VINTAGE_PAISLEY, JUMBO_BAG_VINTAGE_CHRISTMAS","CABIN_BAG_VINTAGE_PAISLEY, JUMBO_BAG_VINTAGE_CHRISTMAS"
17375.0,22384,LUNCH BAG PINK POLKADOT,personalization,False,none,0.909,0.9935,0.1762,1.0,0.901,"Personalized: Matches your interest in BLUE_POLKADOT_CUP, JUMBO_BAG_VINTAGE_CHRISTMAS","BLUE_POLKADOT_CUP, JUMBO_BAG_VINTAGE_CHRISTMAS"
17375.0,20724,RED RETROSPOT CHARLOTTE BAG,personalization,False,none,0.9074,0.9871,0.1614,1.0,0.8693,"Personalized: Matches your interest in RED_RETROSPOT_SHOPPER_BAG, JUMBO_BAG_VINTAGE_CHRISTMAS","RED_RETROSPOT_SHOPPER_BAG, JUMBO_BAG_VINTAGE_CHRISTMAS"
17375.0,22382,LUNCH BAG SPACEBOY DESIGN ,personalization,False,none,0.9045,0.9871,0.1581,1.0,0.9079,"Personalized: Matches your interest in SPACEBOY_LUNCH_BOX, JUMBO_BAG_VINTAGE_CHRISTMAS","SPACEBOY_LUNCH_BOX, JUMBO_BAG_VINTAGE_CHRISTMAS"
17375.0,21212,PACK OF 72 RETROSPOT CAKE CASES,curation,False,none,0.736,0.9935,0.4574,0.7176,0.9154,Personalized: Matches your interest in SET_OF_12_FAIRY,SET_OF_12_FAIRY
17375.0,84991,60 TEATIME FAIRY CAKE CASES,curation,False,none,0.7305,0.9935,0.4245,0.7176,0.8584,Personalized: Matches your interest in SET_OF_12_FAIRY,SET_OF_12_FAIRY
